Sunday Candy , Donnie Trumpet & The Social Experiment
Who Dat Boy (feat. A$AP Rocky) , Tyler, The Creator
911 / Mr. Lonely (feat. Frank Ocean and Steve Lacy) , Tyler, The Creator
Pothole (feat. Jaden Smith) , Tyler, The Creator
Garden Shed (feat. Estelle) , Tyler, The Creator
Keanu Reeves , Cal Scruby
See You Again (feat. Kali Uchis) , Tyler, The Creator
Droppin' Seeds (feat. Lil' Wayne) , Tyler, The Creator
Enjoy Right Now, Today , Tyler, The Creator
Razzle Dazzle (feat. Future) , Mike WiLL Made-It
Summer Seventeen (feat. Yo Gotti) , Rick Ross
Vice City (feat. Black Hippy) , Jay Rock
Glitter , Tyler, The Creator
The Heart Part 4 , Kendrick Lamar
Gang Up , Young Thug, 2 Chainz, Wiz Khalifa & PnB Rock
To the Light , A.CHAL
In for It (feat. RL Grime) , Tory Lanez
No Flockin , Kodak Black
Love N Hennessy , A.CHAL
That Far , 6LACK
Wild Thoughts (feat. Rihanna & Bryson Tiller) , DJ Khaled
FIGHT , BROCKHAMPTON
GUMMY , BROCKHAMPTON
Phone Jumpin (feat. Wiz Khalifa) , Dave East
rockstar (feat. 21 Savage) , Post Malone
Sometimes... , Tyler, The Creator
B , Jaden Smith
Feel It Still , Portugal. The Man
Goodbyes , Mafalda
gucci linen (feat. 2 Chainz) , blackbear
